nid,location,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook,member_level,public,private,subjects_offered lenth,rank
468,59,22095.0,0.43,10.8,96.8,100.0,98.8,99.6,97.3,0,False,False,32,0-500
471,60,11836.0,0.33,8.0,99.2,96.0,99.7,100.0,93.8,0,False,True,28,0-500
466,60,22584.0,0.25,10.0,97.3,99.9,99.3,85.7,90.1,0,False,True,33,0-500
469,60,8378.0,0.23,7.8,98.3,98.0,98.9,96.9,87.4,0,False,True,26,0-500
470,59,20980.0,0.38,11.5,95.9,99.9,97.6,88.4,97.1,0,False,False,31,0-500
467,60,16963.0,0.23,5.9,97.5,97.3,99.6,100.0,85.1,0,False,True,33,0-500
128779,60,2397.0,0.32,6.4,95.2,97.5,97.3,100.0,89.7,0,False,True,20,0-500
474,60,42423.0,0.25,18.7,87.2,98.9,99.0,99.5,86.4,0,True,False,32,0-500
472,59,21000.0,0.6,12.1,89.3,94.9,98.5,90.8,98.3,0,False,False,18,0-500
475,60,14401.0,0.22,6.2,93.7,95.0,97.8,86.5,82.3,0,False,True,30,0-500
479,52,22883.0,0.44,15.8,87.3,97.2,95.1,84.0,95.3,0,False,False,23,0-500
535,9,38289.0,0.09,11.0,95.4,98.4,93.5,100.0,49.8,0,False,False,34,0-500
514,9,34981.0,0.15,11.5,94.9,97.7,88.2,99.9,70.1,0,False,False,30,0-500
473,60,16373.0,0.38,6.0,88.4,90.0,97.4,86.2,81.1,0,False,True,24,0-500
480,60,22539.0,0.24,6.8,87.1,90.7,96.9,98.3,79.3,0,False,True,33,0-500
478,60,21735.0,0.32,5.8,83.7,91.3,97.3,100.0,83.6,0,False,True,29,0-500
504,37,34388.0,0.26,21.0,78.4,93.6,95.7,100.0,91.9,6,False,False,33,0-500
476,60,30541.0,0.4,5.9,86.4,88.8,96.9,75.9,85.4,0,False,True,33,0-500
477,60,44237.0,0.15,9.9,84.9,92.1,96.6,89.0,73.4,0,True,False,36,0-500
484,60,25528.0,0.26,10.5,83.2,91.1,96.8,69.5,85.5,0,False,True,31,0-500
483,7,80107.0,0.29,25.2,76.2,93.5,93.4,94.9,91.8,0,False,False,35,0-500
481,59,41935.0,0.61,11.1,77.6,86.2,98.4,74.9,97.7,0,False,False,33,0-500
482,60,47787.0,0.18,8.5,84.3,88.8,95.4,82.5,68.2,0,True,False,33,0-500
485,60,15312.0,0.46,13.1,73.1,85.1,99.0,85.4,84.2,0,False,True,22,0-500
489,60,49647.0,0.16,10.0,74.6,81.3,98.0,84.7,72.1,0,True,False,35,0-500
552,17,34907.0,0.43,41.8,70.4,86.0,91.7,100.0,83.1,6,False,False,23,0-500
487,60,17180.0,0.22,4.3,77.7,75.6,96.2,100.0,75.5,0,False,True,31,0-500
494,28,26438.0,0.17,10.4,94.1,94.2,68.3,100.0,50.4,0,False,False,36,0-500
500,59,37035.0,0.49,12.2,72.2,77.1,95.7,72.2,96.6,0,False,False,36,0-500
634,37,26044.0,0.29,17.1,65.8,79.3,94.5,99.9,94.1,6,False,False,30,0-500
490,60,19922.0,0.2,8.0,71.8,75.8,97.8,92.3,69.4,0,False,True,34,0-500
510,52,12432.0,0.64,12.5,73.6,72.4,88.5,100.0,95.3,0,False,False,17,0-500
508,60,49423.0,0.45,7.4,72.0,76.8,94.3,71.7,75.3,0,False,True,32,0-500
497,60,39993.0,0.21,11.0,64.9,75.8,97.4,100.0,73.9,0,True,False,29,0-500
498,19,18010.0,0.45,18.4,65.0,70.5,96.1,96.3,97.4,11,False,False,32,0-500
700,9,38462.0,0.09,12.3,78.2,76.2,85.4,99.4,53.8,0,False,False,28,0-500
520,59,35360.0,0.53,14.0,60.1,74.3,97.2,76.2,97.2,0,False,False,31,0-500
509,17,34235.0,0.18,33.0,65.2,76.5,91.7,100.0,76.4,6,False,False,27,0-500
501,2,50303.0,0.48,23.6,64.2,75.3,89.1,99.3,92.3,0,False,False,36,0-500
488,60,34116.0,0.31,31.4,60.0,77.7,92.9,99.2,83.4,0,True,False,27,0-500
486,7,59931.0,0.34,19.3,62.3,76.7,89.7,79.8,94.3,0,False,False,35,0-500
615804,16,16016.0,0.21,14.9,74.4,72.8,82.0,99.4,80.4,0,False,False,29,0-500
531,5,50447.0,0.2,37.5,59.5,74.9,92.4,100.0,80.6,0,False,False,35,0-500
662356,19,18210.0,0.27,18.6,60.8,64.3,97.8,94.2,94.6,11,False,False,31,0-500
492,7,30051.0,0.3,11.3,66.2,70.9,88.6,78.0,91.6,11,False,False,35,0-500
495,60,50655.0,0.25,19.7,66.4,81.0,84.1,86.7,63.2,0,True,False,36,0-500
537,17,19632.0,0.21,13.3,65.6,63.4,95.2,99.3,78.5,11,False,False,25,0-500
815,9,50206.0,0.15,12.1,70.6,76.6,81.8,100.0,61.3,11,False,False,36,0-500
496,51,8005.0,0.28,9.9,59.9,67.1,96.1,95.9,83.8,0,False,False,14,0-500
511,59,12150.0,0.71,12.3,60.0,72.0,94.7,45.1,94.2,0,False,False,17,0-500
493,60,50047.0,0.09,16.6,66.1,76.3,91.3,82.6,47.2,0,True,False,33,0-500
801,9,40159.0,0.09,12.4,72.4,79.3,77.5,100.0,56.4,0,False,False,34,0-500
512,59,42160.0,0.46,15.1,60.3,67.7,93.4,73.3,95.5,11,False,False,33,0-500
656,9,20888.0,0.05,8.0,72.3,68.1,90.0,98.8,46.1,11,False,False,22,0-500
516,28,21707.0,0.11,9.0,86.3,85.1,58.7,100.0,45.8,0,False,False,35,0-500
568,33,20943.0,0.37,14.5,63.2,76.1,76.8,100.0,93.6,0,False,False,27,0-500
491,60,43549.0,0.14,10.6,69.7,70.2,86.3,81.4,63.5,0,True,False,35,0-500
513,60,10476.0,0.2,10.3,71.8,60.9,89.4,68.6,71.6,0,False,True,29,0-500
581,2,54821.0,0.37,32.6,52.2,65.6,95.0,99.7,92.0,0,False,False,34,0-500
